FRT_FID	TEQ_NUMMER
981	46101100021
982	46101100028
983	46101100050
984	46101100020
985	46101100008
986	46101100058
987	46101100004
988	46101100037
989	46101100056
990	46101100067
991	46101100039
992	46101100031
993	46101100045
994	46101100007
995	46101100059
996	46101100052
997	46101100055
998	46101100022
999	46101100053
1000	46101100014
1001	46101100061
1002	46101100011
1003	46101100041
1004	46101100025
1005	46101100040
1006	46101100038
1007	46101100002
1008	46101100009
1009	46101100060
1010	46101100051
1011	46101100048
1012	46101100017
1013	46101100049
1014	46101100018
1015	46101100016
1016	46101100030
1017	46101100032
1018	46101100054
1019	46101100029
1020	46101100066
1021	46101100033
1022	46101100003
1023	46101100034
1024	46101100015
1025	46101100042
1026	46101100027
1027	46101100063
1028	46101100035
1029	46101100057
1030	46101100044
1031	46101100005
1032	46101100026
1033	46101100012
1034	46101100010
1035	46101100006
1036	46101100043
1037	46101100023
1038	46101100065
1039	23101100062
1040	46101100062
1041	23101200021
1042	23101200003
1043	23101200006
1044	23101200012
1045	23101200014
1046	23101200024
1047	23101200007
1048	23101200023
1049	23101200022
1050	23101200005
1051	23101200019
1052	23101200011
1053	23101200016
1054	23101200017
1055	23101200013
1056	23101200002
1057	23101200010
1058	23101200025
1059	23101200004
1060	23101200009
1061	23101200026
1062	23101200018
1063	23101200015
1064	23101200020
1065	23101200008
1066	24101200022
1067	24101200007
1068	24101200006
1069	24101200023
1070	24101200014
1071	24101200011
1072	24101200003
1073	24101200009
1074	24101200024
1075	24101200017
1076	24101200020
1077	24101200002
1078	24101200004
1079	24101200005
1080	24101200015
1081	24101200019
1082	24101200026
1083	24101200010
1084	24101200013
1085	24101200012
1086	24101200008
1087	24101200016
1088	24101200018
1089	24101200025
1090	24101200021
1091	46101200015
1092	46101200008
1093	46101200009
1094	46101200025
1095	46101200020
1096	46101200019
1097	46101200018
1098	46101200026
1099	46101200016
1100	46101200004
1101	46101200011
1102	46101200017
1103	46101200013
1104	46101200002
1105	46101200010
1106	46101200005
1107	46101200012
1108	46101200022
1109	46101200007
1110	46101200014
1111	46101200024
1112	46101200003
1113	46101200006
1114	46101200023
1115	46101200021
1116	21101400013
1117	21101400007
1118	21101400019
1119	21101400003
1120	21101400025
1121	21101400015
1122	21101400005
1123	21101400017
1124	21101400027
1125	21101400023
1126	21101400021
1127	21101400011
1128	21101400009
1129	21101400031
1130	21101400033
1131	21101400035
1132	21101400037
1133	21101400039
1134	21101400041
1135	21101400043
1136	21101400045
1137	21101400047
1138	21101400049
1139	21101400051
1140	21101400053
1141	21101400024
1142	21101400016
1143	21101400008
1144	21101400026
1145	21101400012
1146	21101400020
1147	21101400022
1148	21101400006
1149	21101400018
1150	21101400004
1151	21101400014
1152	21101400010
1153	21101400032
1154	21101400034
1155	21101400036
1156	21101400038
1157	21101400040
1158	21101400042
1159	21101400044
1160	21101400046
1161	21101400048
1162	21101400050
1163	21101400052
1164	21101400002
1165	21101400030
1166	23115300011
1167	23115300007
1168	23115300008
1169	23115300015
1170	23115300009
1171	23115300001
1172	23115300005
1173	23115300006
1174	23115300013
1175	23115300014
1176	23115300012
1177	21115300001
1178	21115300008
1179	21115300012
1180	21115300009
1181	21115300015
1182	21115300013
1183	21115300011
1184	21115300007
1185	21115300005
1186	21115300002
1187	21115300014
1188	21115300006
1189	46115300014
1190	46115300012
1191	46115300013
1192	46115300006
1193	46115300001
1194	46115300005
1195	46115300009
1196	46115300011
1197	46115300008
1198	46115300015
1199	46115300007
1200	23115300003
1201	24115300003
1202	21115300003
1203	46115300003
1204	24115300011
1205	24115300006
1206	24115300005
1207	24115300012
1208	24115300009
1209	24115300001
1210	24115300015
1211	24115300013
1212	24115300008
1213	24115300002
1214	24115300016
1215	24115300014
1216	24115300007
1217	23115300002
1218	46115300002
1219	2311000061
1220	2311000019
1221	4611000019
1222	4611000061
1223	2311000110
1224	2311000060
1225	4611000060
1226	4611000110
1227	2311000015
1228	2311000046
1229	2111000049
1230	2111000021
1231	4611000046
1232	4611000015
1233	2311000013
1234	2311000011
1235	2311000028
1236	2311000065
1237	2311000093
1238	2311000003
1239	2311000007
1240	2311000089
1241	2311000024
1242	2311000036
1243	2311000082
1244	2311000051
1245	2311000100
1246	2311000049
1247	2311000034
1248	2311000113
1249	2311000078
1250	2311000001
1251	2311000005
1252	2311000091
1253	2311000069
1254	2311000022
1255	2311000080
1256	2311000106
1257	2311000067
1258	2311000096
1259	2311000040
1260	2311000057
1261	2311000071
1262	2311000026
1263	2311000098
1264	2311000042
1265	2311000076
1266	2311000073
1267	2311000009
1268	2311000038
1269	2311000020
1270	2311000111
1271	2311000053
1272	2311000115
1273	2311000087
1274	2311000055
1275	2311000104
1276	2311000102
1277	2311000117
1278	2311000084
1279	2111000055
1280	2111000071
1281	2111000003
