"stop_id","stop_name","stop_lat","stop_lon","stop_code","stop_desc","zone_id","wheelchair_boarding"
5134,"Masi-Via Micelette Civ. 4",46.281815,11.499285,"1151MI",,"1070",
5135,"Maso Reigl",45.972251,10.9808,"2055RG",,"2055",
5136,"Maso Samuele",45.967937,10.979949,"2055MS",,"2055",
5137,"Maso Del Silvio",45.966582,10.978171,"2055SI",,"2055",
5138,"Masi-Incrocio Via Zurlon",45.964407,10.976932,"2055ZU",,"2055",
5139,"Masi di Sotto",45.96651,10.973483,"2055ST",,"2055",
5141,"Coredo Via Zambaroni 12",46.349177,11.088842,"6501ZA",,"6501",
5144,"Torchio Bivio Cogatti",46.09101,11.196994,"1001BC",,"1001",
5145,"Cogatti",46.093741,11.196818,"1101RR",,"1001",
5146,"Ossana Scuola Elementare",46.307678,10.73956,"6398SE",,"6398",
5147,"Portolo-Via San Tomaso",46.305004,11.056616,"6216ST",,"6216",
5149,"Strigno-Stazione Fs",46.051416,11.514744,"4449FS",,"4449",
5150,"Campitello Hotel Salvan",46.474285,11.73838,"1350HS",,"1350",
5151,"Rovereto-Fermata Trenitalia",45.890326,11.03385,"3100SF",,"3100",
5152,"Mori-Trenitalia",45.861249,11.002346,"3310FS",,"3310",
5153,"Serravalle-Trenitalia",45.808287,11.015222,"3342SF",,"3342",
5154,"Ala-Trenitalia",45.758925,10.996328,"3346SF",,"3346",
5155,"Avio-Trenitalia",45.73369,10.956084,"3350FS",,"3350",
5156,"Borghetto-Trenitalia",45.696733,10.926909,"3352FS",,"3352",
5165,"Calavino-Via Battisti Civ 20",46.040787,10.982034,"2048SC",,"2048",
5169,"Trento Ss45 'Scala'",46.077367,11.099792,"0001CD",,"0001",
5173,"Strigno Fs-Bretella Mag.Brico",46.052372,11.510935,"4449BB",,"4449",
5180,"Busarel",46.140566,11.773656,"5111BU",,"5111",
5182,"Tres Via Predaia Inc. V.Tavana",46.32116,11.100648,"6191TA",,"6191",
5183,"Tres Via Predaia",46.322014,11.096784,"6191PD",,"6191",
5185,"Mezzano-Sc.Elementare",46.156586,11.808305,"5130SE",,"5130",
5190,"Centa Bv Tiecheri-Frisanchi",45.965305,11.224658,"3780TI",,"3790",
5191,"S.Marino",45.898193,11.692545,"4495",,"4495",
5192,"Cismon Del Grappa",45.919665,11.729849,"4494",,"4494",
5194,"S.Nazario",45.838412,11.690546,"4496RR",,"4496",
5195,"S.Marino",45.898913,11.693689,"4495RR",,"4495",
5196,"Primolano-Staz. Fs",45.965535,11.702533,"4490TV",,"4490",
5201,"Zona Industriale'Luxottica' R",45.865303,11.018506,"3300LR",,"3100",
5202,"Romagnano Loc.Torricella Sft",45.993002,11.098521,"3640MA",,"3620",
5203,"Sardagna Civ. 22",46.069494,11.095252,"2620VD",,"2620",
5204,"Frassilongo-Maso Pinterstoll",46.08038,11.285129,"4140PS",,"4113",
5205,"Grigno Casearia Monti Trentini",46.006597,11.649483,"4454SV",,"4454",
5207,"Baitoni-Via Aldo Sette Civ.1",45.813643,10.547147,"2323AS",,"2323",
5213,"Mezzano-Via Molaren 27",46.16076,11.817183,"5130VS",,"5130",
5231,"Barbine Sp 239 Km. 0.500",46.157203,11.753757,"5127SC",,"5127",
5234,"Riva Del G.-Autostaz.",45.893199,10.845361,"0960FA",,"0960",
5236,"Favrio Civ. 65",45.999626,10.852372,"2186CS",,"2185",
5237,"Carbonare Via Manzoni",45.934041,11.229044,"3820MZ",,"3820",
5239,"Viote Golfo Sulla Sp85",46.020934,11.041724,"2660SP",,"2660",
5240,"Cadine Strada di Cadine 5",46.086841,11.069379,"2010CF",,"2010",
5248,"Telve di Sopra Via S.Pio X",46.073309,11.471692,"4463PX",,"4463",
5252,"Cavareno Via Roen 59",46.400523,11.139886,"6560RE",,"6560",
5253,"Porte Via Al Brentegam",45.880954,11.052889,"3230VB",,"3230",
5254,"Valmorbia Inc. Dosso/Tezze",45.81736,11.094239,"3159DT",,"3159",
5256,"Sarnonico Viale S.Lorenzo",46.419139,11.140627,"6570LO",,"6570",
5257,"Dambel-Loc. Casette",46.409036,11.102603,"6513CA",,"6513",
5259,"Baitoni-V. Aldo Sette Civ.1",45.812948,10.546639,"2323AR",,"2323",
5260,"Viale Industria Amnu",46.068689,11.233672,"4100NR",,"4100",
5263,"Sabbionara V.Pozza Civ. 6",45.74321,10.962575,"3357PO",,"3349",
5264,"Marcena-Sp 6",46.442657,11.011787,"6725SC",,"6730",
5266,"Molveno-V.Nazionale",46.141903,10.963974,"0956BE",,"0956",
5273,"Molina di F.-Via Weber/Rive",46.273244,11.422097,"1088VW",,"1088",
