 "name" , "time" , "diff" ,  ,  ,  ,
 "O636A_1" , "15" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "O680A_0" , "15" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E102B_0" , "20" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E102B_1" , "20" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E121_1" , "20" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E142A_0" , "20" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E142_1" , "20" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E345B_0" , "20" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E350A_1" , "20" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E370A_0" , "20" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E377A_0" , "20" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E397A_1" , "20" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E403B_0" , "20" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E403B_1" , "20" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E408A_0" , "20" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E434B_1" , "20" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E435B_0" , "20" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E435B_1" , "20" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E490A_0" , "20" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E539_0" , "20" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
